,dti,emp_length,issue_d,loan_amnt,purpose,rejected
204878,38.17,0,7/15/2016,4500,credit_card,1
204879,18.41,0,7/15/2016,3000,other,1
204880,36.53,0,7/15/2016,10000,debt_consolidation,1
204881,15.35,5,7/15/2016,11000,credit_card,1
204882,48.69,0,7/15/2016,10000,debt_consolidation,1
204883,26.52,,7/15/2016,15000,Home improvement,1
204884,16.84,3,7/15/2016,20000,Debt consolidation,1
204885,19.67,0,7/15/2016,7500,Debt consolidation,1
204886,46.41,5,7/15/2016,3000,home_improvement,1
204887,26.93,,7/15/2016,5000,debt_consolidation,1
204888,36.51,0,7/15/2016,25000,home_improvement,1
204889,95.33,0,7/15/2016,2000,other,1
204890,33.74,5,7/15/2016,5000,debt_consolidation,1
204891,16,0,7/15/2016,2000,moving,1
204892,14.92,0,7/15/2016,40000,debt_consolidation,1
204893,21.2,0,7/15/2016,15000,moving,1
204894,7.24,0,7/15/2016,3000,debt_consolidation,1
204895,19.08,0,7/15/2016,5000,other,1
204896,16.74,5,7/15/2016,15000,debt_consolidation,0
204897,19.55,5,7/15/2016,13000,debt_consolidation,1
204898,26.47,0,7/15/2016,15000,debt_consolidation,1
204899,28.38,5,7/15/2016,4000,credit_card,1
204900,14.11,0,7/15/2016,12000,debt_consolidation,1
204901,2.76,5,7/15/2016,20000,major_purchase,1
204902,7.09,0,7/15/2016,18000,debt_consolidation,1
204903,60.6,0,7/15/2016,15000,debt_consolidation,0
204904,0,0,7/15/2016,20000,home_improvement,1
204905,8.65,0,7/15/2016,30000,debt_consolidation,1
204906,22.64,5,7/15/2016,1500,medical,0
204907,1.37,0,7/15/2016,10000,debt_consolidation,1
204908,9.03,0,7/15/2016,10000,debt_consolidation,1
204909,20.29,5,7/15/2016,2000,debt_consolidation,1
204910,1.14,5,7/15/2016,5000,other,0
204911,62.59,0,7/15/2016,25000,home_improvement,1
204912,17.79,0,7/15/2016,30000,debt_consolidation,1
204913,44.75,0,7/15/2016,15000,credit_card,1
204914,17.22,0,7/15/2016,1000,moving,0
204915,5.03,0,7/15/2016,5000,debt_consolidation,1
204916,14.1,0,7/15/2016,1700,major_purchase,1
204917,18.53,0,7/15/2016,6000,debt_consolidation,1
204918,3.65,0,7/15/2016,1000,medical,1
204919,8.09,0,7/15/2016,24200,debt_consolidation,1
204920,9.84,5,7/15/2016,10000,Home improvement,1
204921,40.53,5,7/15/2016,10000,credit_card,1
204922,23.54,0,7/15/2016,25000,debt_consolidation,1
204923,17.37,0,7/15/2016,15000,credit_card,1
204924,39.01,0,7/15/2016,5000,debt_consolidation,1
204925,55.53,0,7/15/2016,1000,other,1
204926,0,0,7/15/2016,2000,moving,1
204927,7.17,0,7/15/2016,3000,debt_consolidation,1
204928,29.15,0,7/15/2016,15000,other,1
204929,1.5,0,7/15/2016,30000,debt_consolidation,1
204930,38.53,0,7/15/2016,25000,debt_consolidation,1
204931,54.25,0,7/15/2016,5000,credit_card,1
204932,12.16,0,7/15/2016,12000,debt_consolidation,1
204933,7.62,5,7/15/2016,2000,debt_consolidation,1
204934,22.71,0,7/15/2016,10000,debt_consolidation,1
204935,0.18,0,7/15/2016,3500,debt_consolidation,1
204936,43.98,0,7/15/2016,2000,other,1
204938,2.35,2,7/15/2016,2000,home_improvement,1
204939,30.87,0,7/15/2016,5000,other,1
204940,12.94,0,7/15/2016,2000,credit_card,1
204941,6.76,10,7/15/2016,40000,Home improvement,1
204942,13.3,10,7/15/2016,15000,other,1
204943,5.18,0,7/15/2016,1000,debt_consolidation,1
204945,7.93,0,7/15/2016,4000,debt_consolidation,1
204946,1.15,5,7/15/2016,1500,vacation,1
204947,25.61,0,7/15/2016,24000,credit_card,1
204948,16.06,0,7/15/2016,10000,debt_consolidation,1
204949,25.74,8,7/15/2016,20000,Debt consolidation,1
204950,2.54,0,7/15/2016,3000,debt_consolidation,1
204951,13.42,5,7/15/2016,10000,debt_consolidation,1
204952,34.27,0,7/15/2016,10000,debt_consolidation,1
204953,19.86,0,7/15/2016,1500,moving,1
204954,37.88,0,7/15/2016,35000,debt_consolidation,1
204955,10.96,0,7/15/2016,6000,debt_consolidation,1
204956,30.66,5,7/15/2016,2000,other,1
204957,16.15,5,7/15/2016,30000,credit_card,0
204958,0,0,7/15/2016,1000,medical,1
204959,43.48,0,7/15/2016,3000,other,1
204960,121.95,0,7/15/2016,5000,car,1
204961,7.07,0,7/15/2016,8000,debt_consolidation,1
204962,23.46,0,7/15/2016,2500,home_improvement,1
204963,17.02,0,7/15/2016,20000,debt_consolidation,1
204964,89.95,,7/15/2016,5000,other,1
204965,46.09,0,7/15/2016,40000,debt_consolidation,1
204966,57.32,0,7/15/2016,5000,debt_consolidation,1
204967,44.62,,7/15/2016,35000,debt_consolidation,1
204968,0.77,5,7/15/2016,15000,Major purchase,1
204969,12.2,0,7/15/2016,2000,debt_consolidation,1
204970,68.48,0,7/15/2016,10000,credit_card,1
204971,17.64,5,7/15/2016,6600,credit_card,1
204972,26.39,0,7/15/2016,15000,credit_card,1
204973,43.41,0,7/15/2016,5000,other,1
204974,16.32,0,7/15/2016,15000,debt_consolidation,1
204975,3.32,0,7/15/2016,7000,credit_card,1
204976,10.8,1,7/15/2016,30000,Business,1
204977,18.41,0,7/15/2016,30000,debt_consolidation,1
204978,11.76,5,7/15/2016,2000,other,1
204979,0,,7/15/2016,10000,other,1
204980,1.09,0,7/15/2016,10000,medical,1
204981,32.61,0,7/15/2016,20000,other,1
204982,23.86,0,7/15/2016,15000,debt_consolidation,1
204983,30.17,0,7/15/2016,25000,other,1
204984,16.41,0,7/15/2016,1000,debt_consolidation,1
204985,24.17,5,7/15/2016,7000,other,1
204986,21.05,5,7/15/2016,6000,credit_card,1
204987,15.06,0,7/15/2016,5000,small_business,1
204988,5.9,5,7/15/2016,5000,debt_consolidation,1
204989,19.56,5,7/15/2016,1500,other,1
204990,0.61,5,7/15/2016,3000,home_improvement,1
204991,10.14,0,7/15/2016,20000,home_improvement,1
204992,27.1,5,7/15/2016,35000,debt_consolidation,1
204993,25.06,,7/15/2016,35000,credit_card,1
204994,37.77,0,7/15/2016,12000,debt_consolidation,1
204995,13.85,0,7/15/2016,5000,moving,1
204996,2.16,5,7/15/2016,3000,vacation,1
204997,46.11,0,7/15/2016,3500,credit_card,1
204998,10.94,0,7/15/2016,5000,credit_card,1
205000,10.47,0,7/15/2016,5000,credit_card,1
205001,12.75,0,7/15/2016,5000,other,1
205002,12.18,0,7/15/2016,15000,debt_consolidation,1
205003,1.92,5,7/15/2016,1000,vacation,1
205004,1.44,5,7/15/2016,3000,moving,1
205005,25.25,0,7/15/2016,6000,debt_consolidation,1
205006,0.92,0,7/15/2016,1000,moving,1
205008,35,0,7/15/2016,4000,debt_consolidation,1
205009,0,0,7/15/2016,5000,car,1
205010,16.44,0,7/15/2016,35000,debt_consolidation,1
205011,12.11,0,7/15/2016,40000,small_business,1
205012,37.65,0,7/15/2016,20000,debt_consolidation,1
205013,15.21,0,7/15/2016,10000,debt_consolidation,1
205014,23.67,0,7/15/2016,1000,debt_consolidation,1
205015,42.66,5,7/15/2016,7500,car,1
205016,6.76,0,7/15/2016,5000,moving,1
205018,23.41,0,7/15/2016,10000,debt_consolidation,1
205019,91,0,7/15/2016,20000,debt_consolidation,1
205020,7.26,5,7/15/2016,2000,major_purchase,1
205021,5.47,,7/15/2016,3000,home_improvement,1
205022,57.88,5,7/15/2016,20000,credit_card,1
205023,33.85,0,7/15/2016,20000,debt_consolidation,1
205024,6.31,0,7/15/2016,10000,other,1
205025,23.45,0,7/15/2016,20000,home_improvement,1
205026,14.49,0,7/15/2016,18000,debt_consolidation,1
205027,25.71,5,7/15/2016,10000,credit_card,1
205028,11.54,0,7/15/2016,10000,debt_consolidation,1
205029,0.34,2,7/15/2016,9000,Credit card refinancing,1
205030,37.25,0,7/15/2016,25000,credit_card,1
205031,0,0,7/15/2016,20000,other,1
205032,1.6,0,7/15/2016,5000,major_purchase,1
205033,21.48,1,7/15/2016,21700,car,1
205034,28.11,0,7/15/2016,4000,debt_consolidation,1
205035,0,5,7/15/2016,1000,major_purchase,1
205036,34.1,0,7/15/2016,5000,Other,1
205037,37.51,5,7/15/2016,10000,debt_consolidation,1
205038,40.72,0,7/15/2016,40000,other,1
205039,37.01,0,7/15/2016,7500,home_improvement,1
205040,32.18,0,7/15/2016,13500,car,1
205041,4.67,,7/15/2016,5000,debt_consolidation,1
205042,81.64,5,7/15/2016,5500,debt_consolidation,1
205043,0.72,0,7/15/2016,10000,small_business,1
205044,88.76,0,7/15/2016,10000,debt_consolidation,1
205045,0,0,7/15/2016,1000,other,1
205046,0,0,7/15/2016,10000,debt_consolidation,1
205047,66.27,0,7/15/2016,20000,debt_consolidation,1
205048,49.55,0,7/15/2016,30000,debt_consolidation,1
205049,35.36,5,7/15/2016,4000,car,1
205050,16.76,0,7/15/2016,13000,debt_consolidation,1
205051,17.03,5,7/15/2016,1000,vacation,1
205052,9.3,0,7/15/2016,6000,debt_consolidation,1
205053,1.68,8,7/15/2016,3000,medical,1
205054,39.77,0,7/15/2016,12500,other,1
205055,38.79,5,7/15/2016,9000,other,1
205056,31.88,0,7/15/2016,25000,debt_consolidation,1
205057,5.6,5,7/15/2016,2500,major_purchase,1
205058,37.09,0,7/15/2016,25000,debt_consolidation,1
205059,0.5,,7/15/2016,1000,car,1
205060,18.28,5,7/15/2016,12000,car,1
205061,4.26,5,7/15/2016,2500,medical,1
205062,16.78,0,7/15/2016,20000,debt_consolidation,1
205063,11.21,,7/15/2016,5000,other,1
205064,43.63,0,7/15/2016,6000,debt_consolidation,1
205065,28.87,0,7/15/2016,35000,debt_consolidation,1
205066,14.61,0,7/15/2016,4000,other,1
205067,9.29,5,7/15/2016,8000,credit_card,1
205068,23.34,5,7/15/2016,2000,moving,1
205069,31.93,0,7/15/2016,10000,home_improvement,1
205070,0.93,0,7/15/2016,10000,major_purchase,1
205071,46.25,0,7/15/2016,25000,debt_consolidation,1
205072,2.21,5,7/15/2016,3000,major_purchase,1
205073,0.44,0,7/15/2016,5000,other,1
205074,1.43,0,7/15/2016,23000,major_purchase,1
205075,4.55,5,7/15/2016,1000,other,1
205076,31.94,0,7/15/2016,20000,debt_consolidation,1
205077,4.87,0,7/15/2016,1500,major_purchase,1
205078,20.34,5,7/15/2016,35000,credit_card,1
205079,39.99,0,7/15/2016,12000,debt_consolidation,1
205080,51.11,0,7/15/2016,2500,moving,1
205081,11.13,5,7/15/2016,10000,debt_consolidation,1
205082,28.34,0,7/15/2016,10000,debt_consolidation,1
205083,37.87,0,7/15/2016,25000,debt_consolidation,1
205084,15.97,0,7/15/2016,5000,other,1
205085,2.37,,7/15/2016,3000,renewable_energy,1
205086,24.59,5,7/15/2016,20000,debt_consolidation,1
205087,28.92,0,7/15/2016,10000,debt_consolidation,1
205088,10.74,0,7/15/2016,8000,debt_consolidation,1
205089,13.26,0,7/15/2016,10000,debt_consolidation,1
205090,26.55,5,7/15/2016,1000,debt_consolidation,1
205091,20.64,0,7/15/2016,7200,debt_consolidation,1
205092,37.24,0,7/15/2016,5000,debt_consolidation,1
205093,21.09,,7/15/2016,12000,home_improvement,1
205094,53.33,5,7/15/2016,25000,debt_consolidation,1
205095,26.07,5,7/15/2016,25000,debt_consolidation,1
205096,6.59,0,7/15/2016,15000,debt_consolidation,1
205097,23.24,5,7/15/2016,22500,car,1
205098,0.78,0,7/15/2016,2000,vacation,1
205099,18.53,0,7/15/2016,7000,debt_consolidation,1
205100,27.56,10,7/15/2016,20000,debt_consolidation,1
205101,18.33,0,7/15/2016,5000,home_improvement,1
205102,27.46,5,7/15/2016,2000,major_purchase,1
205103,12.68,5,7/15/2016,10000,debt_consolidation,1
205104,1.05,5,7/15/2016,35000,small_business,1
205105,71.78,0,7/15/2016,2000,other,1
205106,36.48,0,7/15/2016,25000,credit_card,1
205107,39.03,0,7/15/2016,3000,debt_consolidation,1
205109,16.05,0,7/15/2016,7500,Debt consolidation,1
205110,3.57,0,7/15/2016,10000,home_improvement,1
205111,2.87,0,7/15/2016,4000,debt_consolidation,1
205112,9.15,0,7/15/2016,12000,debt_consolidation,1
205113,84.08,0,7/15/2016,5000,car,1
205114,27.27,5,7/15/2016,10000,debt_consolidation,1
205115,12.73,0,7/15/2016,25000,car,1
205116,13.28,0,7/15/2016,15000,debt_consolidation,1
205118,1.42,5,7/15/2016,1000,car,1
205120,29.64,10,7/15/2016,6000,Debt consolidation,1
205121,23.58,5,7/15/2016,20000,debt_consolidation,1
205122,0.6,0,7/15/2016,40000,major_purchase,1
205124,1.95,5,7/15/2016,2000,other,1
205125,70.33,0,7/15/2016,6000,other,1
205126,21.89,0,7/15/2016,6000,debt_consolidation,1
205127,9.35,0,7/15/2016,2500,debt_consolidation,1
205128,21.73,10,7/15/2016,17000,Debt consolidation,1
205129,9.8,0,7/15/2016,40000,debt_consolidation,1
205130,64.09,5,7/15/2016,13000,debt_consolidation,1
205131,14.19,5,7/15/2016,16000,credit_card,1
205133,42.24,,7/15/2016,30000,home_improvement,1
205134,0.86,0,7/15/2016,10000,home_improvement,1
205135,32.36,0,7/15/2016,20000,debt_consolidation,1
205136,26.19,0,7/15/2016,9000,debt_consolidation,1
205137,23.66,0,7/15/2016,10000,moving,1
205138,104.61,0,7/15/2016,25000,other,1
205140,19.07,0,7/15/2016,1500,debt_consolidation,1
205141,13.74,10,7/15/2016,20000,Debt consolidation,1
205142,26.01,0,7/15/2016,3000,other,1
205143,20.12,,7/15/2016,6000,debt_consolidation,1
205144,20.61,5,7/15/2016,2500,debt_consolidation,1
205145,27.36,,7/15/2016,35000,debt_consolidation,1
205146,3.15,5,7/15/2016,5000,other,1
205147,35.87,0,7/15/2016,4500,debt_consolidation,1
205148,151.2,0,7/15/2016,40000,debt_consolidation,1
205149,32.87,5,7/15/2016,2000,debt_consolidation,1
205150,7.66,5,7/15/2016,2500,debt_consolidation,1
205152,44.86,0,7/15/2016,35000,debt_consolidation,1
205153,0.71,0,7/15/2016,1500,credit_card,1
205154,15.05,,7/15/2016,35000,car,1
205155,0,0,7/15/2016,2000,moving,1
205156,0.75,5,7/15/2016,10000,credit_card,1
205159,6.46,10,7/15/2016,2500,Credit card refinancing,1
205160,20.46,0,7/15/2016,1000,moving,1
205161,0.88,0,7/15/2016,8000,major_purchase,1
205162,16.52,0,7/15/2016,1000,major_purchase,1
205163,22.5,5,7/15/2016,30000,debt_consolidation,1
205164,15.13,0,7/15/2016,15000,debt_consolidation,1
205165,39.43,0,7/15/2016,15000,debt_consolidation,1
205166,31.36,0,7/15/2016,40000,debt_consolidation,1
205167,30.71,0,7/15/2016,3000,car,1
205168,9.84,0,7/15/2016,2000,small_business,1
205169,7.28,0,7/15/2016,10000,major_purchase,1
205170,7.62,5,7/15/2016,15000,debt_consolidation,1
205171,1.14,0,7/15/2016,3000,car,1
205172,5.36,0,7/15/2016,1000,debt_consolidation,1
205173,13.98,5,7/15/2016,5000,credit_card,1
205174,30.18,0,7/15/2016,30000,debt_consolidation,1
205175,55.88,5,7/15/2016,5000,other,1
205176,26.77,0,7/15/2016,12000,debt_consolidation,1
205178,20.33,5,7/15/2016,10000,debt_consolidation,1
205179,32.76,0,7/15/2016,10000,debt_consolidation,1
205180,34.19,0,7/15/2016,20000,debt_consolidation,1
205181,40.37,0,7/15/2016,40000,debt_consolidation,1
205182,13.46,5,7/15/2016,11500,home_improvement,1
205183,8.81,5,7/15/2016,9000,credit_card,1
205184,26.85,,7/15/2016,10000,debt_consolidation,1
205185,1.32,5,7/15/2016,5000,car,1
205186,23.38,0,7/15/2016,5000,other,1
205188,27.57,5,7/15/2016,10000,debt_consolidation,1
205189,16.9,0,7/15/2016,15000,credit_card,1
205190,8.51,0,7/15/2016,2500,other,1
205191,35.84,0,7/15/2016,6000,credit_card,1
205192,26.95,,7/15/2016,35000,debt_consolidation,1
205194,14.79,0,7/15/2016,1000,other,1
205195,20.32,7,7/15/2016,6000,Credit card refinancing,1
205196,22.32,0,7/15/2016,20000,debt_consolidation,1
205197,81.56,0,7/15/2016,12000,debt_consolidation,1
205198,16.13,,7/15/2016,1500,home_improvement,1
205199,22.19,5,7/15/2016,5000,debt_consolidation,1
205200,13.49,0,7/15/2016,8000,other,1
205201,34.1,0,7/15/2016,5000,debt_consolidation,1
205202,32,5,7/15/2016,35000,debt_consolidation,1
205203,1.77,0,7/15/2016,5000,major_purchase,1
205204,10.92,0,7/15/2016,5000,debt_consolidation,1
205205,0.32,0,7/15/2016,25000,debt_consolidation,1
205206,16.97,5,7/15/2016,2500,home_improvement,1
205207,61.15,5,7/15/2016,25000,small_business,1
205208,49.36,0,7/15/2016,20000,home_improvement,1
205209,12.2,,7/15/2016,5000,other,1
205210,65.82,5,7/15/2016,35000,credit_card,1
205211,52.68,5,7/15/2016,20000,debt_consolidation,1
205212,37.11,0,7/15/2016,13000,credit_card,1
205213,34.33,0,7/15/2016,25000,debt_consolidation,1
205214,15.67,0,7/15/2016,2000,debt_consolidation,1
205215,21.8,0,7/15/2016,5000,debt_consolidation,1
205217,8.47,0,7/15/2016,2000,debt_consolidation,1
205218,2.63,0,7/15/2016,1000,other,1
205219,0,0,7/15/2016,3000,debt_consolidation,1
205220,24.38,,7/15/2016,30000,Debt consolidation,1
205221,30.81,0,7/15/2016,25000,debt_consolidation,1
205222,38.57,5,7/15/2016,21000,major_purchase,1
205223,2.52,0,7/15/2016,15000,debt_consolidation,1
205224,0.74,,7/15/2016,2000,other,1
205225,0,0,7/15/2016,3000,debt_consolidation,1
205226,39.23,5,7/15/2016,7500,debt_consolidation,1
205227,40.21,0,7/15/2016,20000,medical,1
205229,19.26,0,7/15/2016,5000,debt_consolidation,1
205230,51.21,0,7/15/2016,35000,debt_consolidation,1
205231,2.9,0,7/15/2016,20000,other,1
205232,2.07,5,7/15/2016,1000,debt_consolidation,1
205233,13.46,5,7/15/2016,3000,home_improvement,1
205234,11.15,,7/15/2016,1000,home_improvement,1
205235,36.76,5,7/15/2016,20000,debt_consolidation,1
205236,29.47,0,7/15/2016,40000,debt_consolidation,1
205237,38.55,0,7/15/2016,12000,credit_card,1
205238,13.96,10,7/15/2016,20000,Debt consolidation,1
205239,1.25,0,7/15/2016,10000,debt_consolidation,1
205240,15.37,0,7/15/2016,25000,debt_consolidation,1
205241,40.25,0,7/15/2016,5000,debt_consolidation,1
205242,27.41,0,7/15/2016,20000,debt_consolidation,1
205243,45.04,0,7/15/2016,40000,credit_card,1
205244,10.76,0,7/15/2016,8000,debt_consolidation,1
205245,58.84,5,7/15/2016,7000,debt_consolidation,1
205246,15.42,0,7/15/2016,40000,debt_consolidation,1
205247,45.14,0,7/15/2016,18000,debt_consolidation,1
205248,14.05,0,7/15/2016,6000,debt_consolidation,1
205249,16.3,5,7/15/2016,1000,vacation,1
205250,55.41,,7/15/2016,3400,debt_consolidation,1
205251,25.09,,7/15/2016,15000,car,1
205252,34.2,5,7/15/2016,5000,credit_card,1
205253,0,5,7/15/2016,5000,moving,1
205254,4.81,,7/15/2016,2000,debt_consolidation,1
205255,35.97,0,7/15/2016,25000,debt_consolidation,1
205256,34.43,0,7/15/2016,25000,debt_consolidation,1
205257,29.91,5,7/15/2016,15000,debt_consolidation,1
205258,11.7,5,7/15/2016,1000,other,1
205259,1.68,0,7/15/2016,5000,other,1
205260,18.36,0,7/15/2016,7500,home_improvement,1
205261,22.25,0,7/15/2016,11000,debt_consolidation,1
205262,1.33,0,7/15/2016,1000,car,1
205264,15.69,5,7/15/2016,5000,home_improvement,1
205265,0,0,7/15/2016,7000,other,1
205266,30.39,0,7/15/2016,25000,credit_card,1
205267,38.2,,7/15/2016,7500,debt_consolidation,1
205268,23.79,0,7/15/2016,1800,home_improvement,1
205269,10.41,2,7/15/2016,25000,Debt consolidation,1
205270,6.45,0,7/15/2016,30000,other,1
205271,7.23,5,7/15/2016,8500,car,1
205272,43.25,0,7/15/2016,40000,credit_card,1
205273,0.36,5,7/15/2016,3000,other,1
205274,23.14,0,7/15/2016,5000,debt_consolidation,1
205275,26.33,,7/15/2016,26000,Debt consolidation,1
205276,21.76,0,7/15/2016,1000,other,1
205277,15,0,7/15/2016,5000,major_purchase,1
205278,1.98,0,7/15/2016,5000,debt_consolidation,1
205279,8.79,0,7/15/2016,15000,debt_consolidation,1
205280,10.41,,7/15/2016,1200,credit_card,1
205281,9.01,5,7/15/2016,5000,other,1
205282,8.56,0,7/15/2016,12000,debt_consolidation,1
205283,0,,7/15/2016,5000,other,1
205285,14.61,0,7/15/2016,10000,credit_card,1
205286,0.75,5,7/15/2016,4000,car,1
205287,64.4,0,7/15/2016,4000,home_improvement,1
205288,1.33,0,7/15/2016,1000,other,1
205289,31.33,0,7/15/2016,10000,credit_card,1
205290,20.89,0,7/15/2016,5000,home_improvement,1
205291,0,5,7/15/2016,1000,other,1
205292,23.83,5,7/15/2016,8000,debt_consolidation,1
205293,25.7,0,7/15/2016,1000,moving,1
205294,7.76,0,7/15/2016,12000,other,1
205296,39.55,0,7/15/2016,40000,debt_consolidation,1
205297,6.05,5,7/15/2016,5000,credit_card,1
205298,15.07,,7/15/2016,15000,credit_card,1
205299,26.51,0,7/15/2016,18600,debt_consolidation,1
205301,44.58,0,7/15/2016,40000,debt_consolidation,1
205302,38.15,0,7/15/2016,30000,debt_consolidation,1
205304,15.33,0,7/15/2016,6000,debt_consolidation,1
205305,45.69,0,7/15/2016,5000,moving,1
205306,17.77,0,7/15/2016,20000,other,1
205307,30.05,0,7/15/2016,16000,debt_consolidation,1
205308,20.68,0,7/15/2016,1500,other,1
205309,21.6,5,7/15/2016,1000,vacation,1
205310,18.01,0,7/15/2016,2500,other,1
205311,34.04,0,7/15/2016,40000,major_purchase,1
205313,24.48,0,7/15/2016,8000,debt_consolidation,1
205314,24.52,0,7/15/2016,3000,debt_consolidation,1
205315,29.01,0,7/15/2016,1500,other,1
205316,0.19,0,7/15/2016,7000,other,1
205317,78.53,5,7/15/2016,5000,vacation,1
205319,21.07,0,7/15/2016,25000,debt_consolidation,1
205320,27.9,0,7/15/2016,1000,debt_consolidation,1
205321,16.2,0,7/15/2016,1000,moving,1
205322,0,0,7/15/2016,1500,other,1
205323,15.85,,7/15/2016,5000,credit_card,1
205324,125.36,0,7/15/2016,30000,home_improvement,1
205325,0,0,7/15/2016,15000,debt_consolidation,1
205326,4.62,0,7/15/2016,4000,debt_consolidation,1
205327,28.08,2,7/15/2016,40000,credit_card,1
205328,9.46,0,7/15/2016,15500,debt_consolidation,1
205329,15.07,5,7/15/2016,1500,other,1
205330,32.1,0,7/15/2016,8000,debt_consolidation,1
205331,4.29,0,7/15/2016,1500,other,1
205332,14.9,0,7/15/2016,5000,debt_consolidation,1
205333,40.57,0,7/15/2016,15000,debt_consolidation,1
205334,30.36,5,7/15/2016,2500,debt_consolidation,1
205336,14.18,0,7/15/2016,20000,home_improvement,1
205337,17.31,0,7/15/2016,14600,car,1
205338,0.19,0,7/15/2016,17000,other,1
205339,49.34,0,7/15/2016,5000,medical,1
205340,0.21,0,7/15/2016,1000,home_improvement,1
205342,0.27,0,7/15/2016,30000,credit_card,1
205343,54.13,0,7/15/2016,6000,credit_card,1
205344,3.19,,7/15/2016,20000,Debt consolidation,1
205345,45.6,0,7/15/2016,9500,credit_card,1
205346,15.75,0,7/15/2016,7500,other,1
205347,21.4,0,7/15/2016,5000,debt_consolidation,1
205349,1.1,0,7/15/2016,3000,moving,1
205350,5.4,0,7/15/2016,10000,other,1
205351,20.84,0,7/15/2016,10000,debt_consolidation,1
205353,3.52,5,7/15/2016,2500,debt_consolidation,1
205354,0,5,7/15/2016,2000,other,1
205355,117.59,0,7/15/2016,10000,credit_card,1
205356,10.22,0,7/15/2016,8000,credit_card,1
205357,31.3,0,7/15/2016,40000,other,1
205358,30.84,0,7/15/2016,15000,debt_consolidation,1
205359,3,0,7/15/2016,10000,medical,1
205360,1.44,0,7/15/2016,1000,medical,1
205361,14.95,0,7/15/2016,25000,other,1
205362,51.54,5,7/15/2016,5000,debt_consolidation,1
205363,12.37,10,7/15/2016,15000,Credit card refinancing,1
205364,17.16,0,7/15/2016,13000,debt_consolidation,1
205365,0.71,0,7/15/2016,10000,other,1
205366,20.56,5,7/15/2016,35000,debt_consolidation,1
205367,152.2,0,7/15/2016,30000,other,1
205368,10.61,0,7/15/2016,40000,debt_consolidation,1
205369,16.9,,7/15/2016,9000,debt_consolidation,1
205370,14.83,0,7/15/2016,8000,car,1
205371,19.66,0,7/15/2016,2000,other,1
205372,70.86,5,7/15/2016,10000,major_purchase,1
205374,17.14,0,7/15/2016,16000,debt_consolidation,1
205375,2.07,,7/15/2016,1000,other,1
205376,1.47,0,7/15/2016,2000,other,1
205377,3.12,0,7/15/2016,5000,car,1
205378,22.28,5,7/15/2016,3000,debt_consolidation,1
205379,2.15,0,7/15/2016,5000,debt_consolidation,1
205380,22.37,0,7/15/2016,30000,debt_consolidation,1
205381,16.41,0,7/15/2016,2500,moving,1
205382,33.38,0,7/15/2016,15000,debt_consolidation,1
205383,33.51,0,7/15/2016,5000,debt_consolidation,1
205384,13.73,0,7/15/2016,8000,debt_consolidation,1
205385,16.02,5,7/15/2016,5000,credit_card,1
205386,38.77,5,7/15/2016,25000,debt_consolidation,1
205387,17.55,0,7/15/2016,8000,debt_consolidation,1
205388,10.92,5,7/15/2016,3000,debt_consolidation,1
205389,37.87,0,7/15/2016,40000,debt_consolidation,1
205390,22.48,10,7/15/2016,6000,Green loan,1
205391,70.41,0,7/15/2016,35000,debt_consolidation,1
205392,16.1,0,7/15/2016,2000,moving,1
205393,6.72,5,7/15/2016,5000,other,1
205394,15.16,0,7/15/2016,40000,home_improvement,1
205395,45.32,0,7/15/2016,10000,medical,1
205396,4.48,10,7/15/2016,5000,Vacation,1
205397,41.59,5,7/15/2016,8000,debt_consolidation,1
205398,31.93,,7/15/2016,4500,other,1
205399,4.68,5,7/15/2016,3000,small_business,1
205400,7.85,,7/15/2016,11000,debt_consolidation,1
205401,22.43,5,7/15/2016,15000,debt_consolidation,1
205402,38.46,0,7/15/2016,12500,debt_consolidation,1
205403,54.03,5,7/15/2016,15800,debt_consolidation,1
205404,3.3,5,7/15/2016,3000,credit_card,1
205405,5.37,0,7/15/2016,8000,debt_consolidation,1
205406,16.87,0,7/15/2016,5000,debt_consolidation,1
205407,16.44,0,7/15/2016,1600,other,1
205408,15.05,0,7/15/2016,2500,debt_consolidation,1
205409,11.16,0,7/15/2016,35000,major_purchase,1
205410,2.07,0,7/15/2016,10000,major_purchase,1
205411,27.2,0,7/15/2016,8000,debt_consolidation,1
303567,21.64,0,7/23/2016,40000,debt_consolidation,1
303568,21.29,5,7/23/2016,10000,home_improvement,1
303569,6.13,0,7/23/2016,5000,other,1
303570,39.37,0,7/23/2016,30000,debt_consolidation,1
303571,1.22,,7/23/2016,5000,credit_card,1
303572,2.4,0,7/23/2016,5000,other,1
303573,3.87,0,7/23/2016,30000,debt_consolidation,1
303574,47.81,0,7/23/2016,20000,debt_consolidation,1
303575,14.67,0,7/23/2016,14000,debt_consolidation,1
303576,15.09,,7/23/2016,8500,debt_consolidation,1
303577,58.78,5,7/23/2016,35000,debt_consolidation,1
303578,10.44,0,7/23/2016,30000,other,1
303579,32.47,5,7/23/2016,16000,debt_consolidation,1
303580,6.01,0,7/23/2016,1500,medical,1
303582,0,0,7/23/2016,5000,debt_consolidation,1
303583,1.51,5,7/23/2016,20000,other,1
303585,4.17,0,7/23/2016,6000,debt_consolidation,1
303586,31.88,0,7/23/2016,20000,debt_consolidation,1
303587,59.84,0,7/23/2016,1000,other,1
303588,13.38,0,7/23/2016,4000,debt_consolidation,1
303589,37.17,0,7/23/2016,25000,debt_consolidation,1
303590,5.86,5,7/23/2016,1000,other,1
